ID;Labels
D2-101;human
D2-102;human
D2-103;human
D2-104;Anthropic
D2-105;human
D2-106;Anthropic
D2-107;human
D2-108;Anthropic
D2-109;human
D2-110;human
D2-111;human
D2-112;human
D2-113;human
D2-114;Anthropic
D2-115;meta
D2-116;human
D2-117;human
D2-118;human
D2-119;human
D2-120;human
D2-121;human
D2-122;human
D2-123;human
D2-124;human
D2-125;human
D2-126;human
D2-127;human
D2-128;human
D2-129;human
D2-130;human
D2-131;human
D2-132;human
D2-133;human
D2-134;human
D2-135;human
D2-136;human
D2-137;human
D2-138;human
D2-139;human
D2-140;human
D2-141;human
D2-142;human
D2-143;human
D2-144;human
D2-145;human
D2-146;human
D2-147;human
D2-148;human
D2-149;human
D2-150;human
D3-1;human
D3-2;human
D3-3;Anthropic
D3-4;Anthropic
D3-5;Anthropic
D3-6;human
D3-7;human
D3-8;human
D3-9;human
D3-10;human
D3-11;human
D3-12;human
D3-13;Anthropic
D3-14;openai
D3-15;Anthropic
D3-16;human
D3-17;human
D3-18;human
D3-19;human
D3-20;human
D3-21;human
D3-22;human
D3-23;human
D3-24;Anthropic
D3-25;human
D3-26;human
D3-27;human
D3-28;human
D3-29;human
D3-30;human
D3-31;human
D3-32;Anthropic
D3-33;human
D3-34;human
D3-35;human
D3-36;human
D3-37;human
D3-38;Anthropic
D3-39;meta
D3-40;human
D3-41;Anthropic
D3-42;human
D3-43;human
D3-44;human
D3-45;human
D3-46;Anthropic
D3-47;Anthropic
D3-48;Anthropic
D3-49;openai
D3-50;meta
D3-51;human
D3-52;human
D3-53;openai
D3-54;human
D3-55;human
D3-56;human
D3-57;human
D3-58;human
D3-59;human
D3-60;human
D3-61;human
D3-62;human
D3-63;Anthropic
D3-64;human
D3-65;Anthropic
D3-66;Anthropic
D3-67;Anthropic
D3-68;human
D3-69;human
D3-70;human
D3-71;human
D3-72;human
D3-73;Anthropic
D3-74;human
D3-75;human
D3-76;human
D3-77;human
D3-78;human
D3-79;meta
D3-80;human
D3-81;Anthropic
D3-82;Anthropic
D3-83;Anthropic
D3-84;human
D3-85;human
D3-86;human
D3-87;human
D3-88;human
D3-89;human
D3-90;human
D3-91;Anthropic
D3-92;human
D3-93;human
D3-94;human
D3-95;human
D3-96;human
D3-97;human
D3-98;human
D3-99;human
D3-100;human
